Duivendrecht  (2039,1195)  (2003,1209)  (2062,1231)  (2075,1164)  (2026,1245)  (2079,1199)  (2122,1145)  (2107,1199)  | overflowToLeft=false
Baan 27  (787,1098)  (751,1127)  (751,1091)  (822,1134)  (787,1062)  (823,1062)  (823,1098)  (786,1163)  (715,1123)  (715,1087)  (858,1134)  (858,1170)  (859,1062)  (859,1098)  (679,1119)  (679,1083)  (894,1134)  (894,1170)  (895,1062)  (895,1098)  (643,1113)  (930,1134)  (931,1065)  (607,1107)  (966,1101)  (571,1102)  | overflowToLeft=false
Zeeburgereiland  (2337,724)  (2301,755)  (2372,760)  (2306,688)  (2375,724)  (2344,686)  (2412,769)  | overflowToLeft=false
Kerk AE  (2917,144)  | overflowToLeft=false
Adam-Rijn K.  (2280,867)  | overflowToLeft=false
Waterlooplein  (1866,695)  (1903,697)  (1908,671)  (1940,661)  | overflowToLeft=false
Sloterplas  (1286,570)  | overflowToLeft=false
Gooimeer  (3724,1672)  (3688,1707)  (3688,1671)  (3759,1708)  (3724,1636)  (3760,1636)  (3760,1672)  (3686,1635)  (3723,1743)  (3795,1708)  (3795,1744)  (3759,1744)  (3722,1600)  (3758,1600)  (3794,1600)  (3796,1636)  (3796,1672)  (3650,1621)  (3686,1599)  (3804,1780)  (3768,1780)  (3791,1564)  (3804,1816)  (3804,1852)  | overflowToLeft=false
Sloten  (1211,891)  (1175,926)  (1175,890)  (1246,927)  (1211,855)  (1247,855)  (1247,891)  (1173,854)  (1210,962)  (1139,947)  (1139,911)  (1282,927)  (1282,963)  (1246,963)  (1209,819)  (1245,819)  (1281,819)  (1283,855)  (1283,891)  (1137,875)  (1137,839)  (1173,818)  (1122,803)  (1317,816)  (1103,955)  (1103,919)  (1318,927)  (1318,963)  (1306,999)  (1270,999)  (1319,852)  (1319,888)  (1101,883)  (1101,847)  (1086,811)  (1067,972)  (1067,936)  (1354,924)  (1355,825)  (1355,861)  (1065,900)  (1065,864)  (1050,828)  (1031,949)  (1390,897)  (1029,913)  (1029,877)  (1014,841)  (993,879)  | overflowToLeft=false
Havenbuurt  (1488,-15)  | overflowToLeft=false
Noorder IJplas  (1706,0)  | overflowToLeft=false
Hoofddorp  (51,1166)  (15,1201)  (15,1165)  (86,1202)  (51,1130)  (87,1130)  (87,1166)  (13,1129)  (50,1237)  (14,1237)  (122,1202)  (122,1238)  (86,1238)  (49,1094)  (85,1094)  (121,1094)  (123,1130)  (123,1166)  (0,1093)  (157,1072)  (50,1273)  (14,1273)  (158,1202)  (158,1238)  (158,1274)  (122,1274)  (86,1274)  (36,1058)  (72,1058)  (108,1058)  (159,1108)  (159,1144)  (0,1057)  (50,1309)  (14,1309)  (194,1180)  (194,1216)  (36,1022)  (72,1022)  (108,1022)  (195,1124)  (230,1180)  | overflowToLeft=false
Spaarnwoude  (470,49)  (434,84)  (434,48)  (505,85)  (470,13)  (506,13)  (506,49)  (432,12)  (469,120)  (433,120)  (398,84)  (398,48)  (541,85)  (541,121)  (505,121)  (397,121)  (542,0)  (542,36)  (396,12)  (469,156)  (433,156)  (362,85)  (362,49)  (577,72)  (577,108)  (577,144)  (541,157)  (505,157)  (397,157)  (361,142)  (578,0)  (578,36)  (360,13)  (600,180)  (469,192)  (433,192)  (326,106)  (326,70)  (613,72)  (613,108)  (613,144)  (564,193)  (528,193)  (397,193)  (614,0)  (614,36)  (636,180)  (636,216)  (600,216)  (649,72)  (649,108)  (649,144)  | overflowToLeft=false
Spaarndammerbuurt  (1776,430)  (1740,405)  (1811,466)  | overflowToLeft=false
